time,X,Y,Z,vX,vY,vZ,aX,aY,aZ
1.94e-07,6.49e-15,-1.14927e-14,1.58374e-13,6.69073e-08,-1.18482e-07,1.63272e-06,0.344883,-0.61073,8.4161
0.0685474,0.000883407,-0.00154737,0.0197895,0.0257751,-0.0451474,0.577394,0.376018,-0.65863,8.42328
0.137277,0.0036109,-0.0061833,0.0792664,0.0535939,-0.0897563,1.15336,0.404758,-0.64905,8.38017
0.201157,0.00768443,-0.0132413,0.170017,0.0739422,-0.131218,1.68792,0.318538,-0.64905,8.3682
0.27008,0.0136056,-0.0238267,0.306337,0.0978775,-0.175952,2.26782,0.347278,-0.64905,8.4137
0.338826,0.021104,-0.0374396,0.482051,0.12027,-0.220078,2.84409,0.325723,-0.641865,8.38257
0.407474,0.0302462,-0.0540711,0.697109,0.146083,-0.264469,3.42151,0.376018,-0.646655,8.41131
0.471303,0.0402487,-0.0722545,0.932508,0.167332,-0.305286,3.95442,0.332908,-0.63947,8.34904
0.540122,0.0525016,-0.0947841,1.2245,0.188759,-0.349459,4.5313,0.311353,-0.641865,8.38257
0.608771,0.0663966,-0.120258,1.5553,0.216052,-0.3927,5.1061,0.397573,-0.62989,8.37299
0.677344,0.082062,-0.148792,1.92495,0.240851,-0.439507,5.67516,0.361648,-0.682581,8.29874
0.741329,0.098272,-0.178267,2.30536,0.26583,-0.481802,6.21566,0.390388,-0.661025,8.44723
0.810181,0.117341,-0.212899,2.75308,0.288092,-0.524182,6.78968,0.323328,-0.61552,8.33706
0.878698,0.138053,-0.250293,3.23803,0.316481,-0.56734,7.36584,0.414338,-0.62989,8.40891
0.947528,0.160807,-0.290971,3.76498,0.34467,-0.614652,7.94561,0.409548,-0.687371,8.42328
1.0162,0.185389,-0.334702,4.33014,0.371313,-0.659056,8.51514,0.387993,-0.646655,8.29395
1.08007,0.209943,-0.378119,4.89104,0.397473,-0.700362,9.04722,0.409548,-0.646655,8.32988
1.14899,0.238228,-0.428035,5.53446,0.423387,-0.748228,9.62508,0.376018,-0.694556,8.38496
1.21766,0.268185,-0.480843,6.21518,0.449045,-0.789677,10.1994,0.373623,-0.603545,8.36341
1.2863,0.29991,-0.536564,6.93499,0.475348,-0.833899,10.774,0.383203,-0.64426,8.37059
1.35012,0.331056,-0.591002,7.63962,0.500721,-0.872111,11.3082,0.397573,-0.598755,8.37059
1.41904,0.366549,-0.652642,8.4388,0.529277,-0.916677,11.8839,0.414338,-0.646655,8.35383
1.48754,0.403631,-0.717008,9.27263,0.553394,-0.962614,12.4613,0.352068,-0.670605,8.42807
1.55656,0.442647,-0.785033,10.1524,0.577197,-1.00857,13.0329,0.344883,-0.665815,8.28198
1.62044,0.480279,-0.850718,11.002,0.601063,-1.04804,13.5677,0.373623,-0.617915,8.37299
1.68914,0.522373,-0.924297,11.9539,0.624265,-1.09379,14.1417,0.337698,-0.665815,8.35383
1.75762,0.565915,-1.00073,12.9419,0.647391,-1.1384,14.7134,0.337698,-0.651445,8.34904
